state,city,latitude,longitude,price
NY,New York,40.75685194,-73.96475423,160.0
NY,New York,40.83059907,-73.94101428,105.0
NY,Brooklyn,40.69218932,-73.92412,58.0
NY,New York,40.73475109,-74.00259246,185.0
NY,New York,40.74528161,-73.99783627,195.0
NY,Brooklyn,40.6790599,-73.99473046,165.0
NY,Brooklyn,40.68442184,-73.90988221,80.0
NY,New York,40.71931947,-73.99724679,120.0
NY,New York,40.72602241,-73.98641795,150.0
NY,Brooklyn,40.68642018,-73.9344017,40.0
NY,Brooklyn,40.68906208,-73.97790509,150.0
NY,Brooklyn,40.68906438,-73.91614428,75.0
NY,New York,40.75112878,-73.98534538,80.0
NY,Brooklyn,40.6677904,-73.93678658,110.0
NY,New York,40.76067918,-73.98444316,189.0
NY,New York,40.73510923,-74.00182143,200.0
NY,New York,40.73328538,-73.9843566,95.0
NY,New York,40.86227015,-73.9270169,125.0
NY,New York,40.84796614,-73.93046644,35.0
NY,Brooklyn,40.67099719,-73.9581066,165.0
NY,New York,40.70687933,-74.00548582,100.0
NY,New York,40.80652596,-73.95193601,110.0
NY,Brooklyn,40.72606714,-73.95102528,65.0
NY,Brooklyn,40.69863005,-73.9285374,200.0
NY,New York,40.79932214,-73.96767927,150.0
NY,New York,40.71812503,-73.99484809,300.0
NY,New York,40.81316065,-73.94902419,255.0
NY,New York,40.80361525,-73.94079242,150.0
NY,New York,40.73400013,-73.99449085,299.0
NY,New York,40.72345022,-74.00325733,195.0
NY,New York,40.71117318,-74.00667598,365.0
NY,New York,40.76543852,-73.99463794,105.0
NY,New York,40.73021049,-73.98145037,225.0
NY,New York,40.82490946,-73.95137108,90.0
NY,New York,40.74009883,-73.97914504,150.0
NY,New York,40.80117641,-73.95450999,125.0
NY,New York,40.81094295,-73.95097066,109.0
NY,New York,40.74139958,-73.99747325,400.0
NY,New York,40.70654355,-74.00878387,99.0
NY,New York,40.81904473,-73.94325286,89.0
NY,New York,40.72633595,-73.99377219,250.0
NY,Queens,40.77245498,-73.91922627,80.0
NY,Brooklyn,40.69928064,-73.92903403,65.0
NY,New York,40.72371544,-73.98378124,100.0
NY,New York,40.77968507,-73.9533856,250.0
NY,Long Island City,40.75619433,-73.93004987,66.0
NY,Brooklyn,40.69291683,-73.94824935,160.0
NY,New York,40.82322106,-73.95576409,70.0
NY,Brooklyn,40.69227781,-73.93093563,35.0
NY,Brooklyn,40.69960612,-73.94069028,69.0
NY,New York,40.73636309,-74.00194059,125.0
NY,New York,40.82660106,-73.94592741,50.0
NY,Queens,40.7056668,-73.91600832,80.0
NY,New York,40.77322447,-73.95091014,199.0
NY,New York,40.72919293,-73.97794438,250.0
NY,Brooklyn,40.7076077,-73.94266309,140.0
NY,Brooklyn,40.71332286,-73.93629172,149.0
NY,New York,40.7280078,-74.00094807,400.0
NY,New York,40.70776341,-74.00196747,150.0
NY,Brooklyn,40.71317202,-73.93690763,275.0
NY,New York,40.79456326,-73.96828413,150.0
